N, V, Time (ms)
100000, 2, 3.72764
100000, 4, 3.68304
100000, 8, 3.72081
100000, 16, 3.88673
100000, 32, 3.66906
100000, 64, 3.6428
100000, 128, 3.66023
100000, 256, 3.72523
