N, V, Time (ms)
10000000, 2, 375.746
10000000, 4, 372.094
10000000, 8, 383.083
10000000, 16, 371.808
10000000, 32, 377.371
10000000, 64, 368.795
10000000, 128, 370.268
10000000, 256, 376.634
