N, V, Time (ms)
1000, 2, 0.035707
1000, 4, 0.036217
1000, 8, 0.068618
1000, 16, 0.035406
1000, 32, 0.079428
1000, 64, 0.0375
1000, 128, 0.035255
1000, 256, 0.035446
