N, V, Time (ms)
1000000, 2, 37.3894
1000000, 4, 37.6063
1000000, 8, 37.6331
1000000, 16, 37.8265
1000000, 32, 37.2572
1000000, 64, 38.0939
1000000, 128, 38.4225
1000000, 256, 37.9438
